=================================
('Original ', [10], 507280.0)
SSL(2e-3), [10], 51209.0, 10.09
SSL(1e-3), [10], 51751.0, 10.20
SSL(5e-4), [10], 55654.0, 10.97
SSL(1e-4), [10], 60006.0, 11.83
SSL(5e-5), [10], 62381.0, 12.30
SVD(5e-2), [10], 83087.0, 16.38
SVD(2e-2), [10], 71295.0, 14.05
SVD(1e-2), [10], 71207.0, 14.04
SVD(5e-3), [10], 74848.0, 14.75
SVD(1e-3), [10], 91052.0, 17.95
SBP(2e-2), [10], 53491.0, 10.54
SBP(1.5e-2), [10], 68547.0, 13.51
SBP(1e-2), [10], 69770.0, 13.75
SBP(5e-3), [10], 74250.0, 14.64
SBP(1e-3), [10], 85927.0, 16.94
BB(5e-2), [10], 74818.0, 14.75
BB(2e-2), [10], 75805.0, 14.94
BB(1e-2), [10], 82166.0, 16.20
BB(5e-3), [10], 88407.0, 17.43
BB(1e-3), [10], 183791.0, 36.23
DBB(5e-2), [10], 64671.0, 12.75
DBB(2e-2), [10], 68580.0, 13.52
DBB(1e-2), [10], 75046.0, 14.79
DBB(5e-3), [10], 77140.0, 15.21
DBB(1e-3), [10], 135336.0, 26.68
VIB(5e-2), [10], 69677.0, 13.74
VIB(2e-2), [10], 71020.0, 14.00
VIB(1e-2), [10], 71902.0, 14.17
VIB(5e-3), [10], 72778.0, 14.35
VIB(1e-3), [10], 77672.0, 15.31
GD(5e-2), [10], 93649.0, 18.46
GD(2e-2), [10], 114776.0, 22.63
GD(1e-2), [10], 142799.0, 28.15
GD(5e-3), [10], 182158.0, 35.91
GD(1e-3), [10], 333676.0, 65.78
