=================================
('Original ', [10], 545810)
SSL(2e-3), [10], 7194, 1.32
SSL(1e-3), [10], 9932, 1.82
SSL(5e-4), [10], 13916, 2.55
SSL(1e-4), [10], 19678, 3.61
SSL(5e-5), [10], 23695, 4.34
SVD(5e-2), [10], 25442, 4.66
SVD(2e-2), [10], 29643, 5.43
SVD(1e-2), [10], 37003, 6.78
SVD(5e-3), [10], 45484, 8.33
SVD(1e-3), [10], 64909, 11.89
SBP(2e-2), [10], 21906, 4.01
SBP(1.5e-2), [10], 25176, 4.61
SBP(1e-2), [10], 30383, 5.57
SBP(5e-3), [10], 36866, 6.75
SBP(1e-3), [10], 47509, 8.70
BB(5e-2), [10], 17907, 3.28
BB(2e-2), [10], 31549, 5.78
BB(1e-2), [10], 41051, 7.52
BB(5e-3), [10], 50491, 9.25
BB(1e-3), [10], 107392, 19.68
DBB(5e-2), [10], 2723, 0.50
DBB(2e-2), [10], 3776, 0.69
DBB(1e-2), [10], 5343, 0.98
DBB(5e-3), [10], 11378, 2.08
DBB(1e-3), [10], 77927, 14.28
VIB(5e-2), [10], 9943, 1.82
VIB(2e-2), [10], 15148, 2.78
VIB(1e-2), [10], 17286, 3.17
VIB(5e-3), [10], 18997, 3.48
VIB(1e-3), [10], 26744, 4.90
GD(5e-2), [10], 50995, 9.34
GD(2e-2), [10], 67915, 12.44
GD(1e-2), [10], 90256, 16.54
GD(5e-3), [10], 124640, 22.84
GD(1e-3), [10], 171493, 31.42
